loan_id,bureau_score,dti_ratio,employment_yrs,loan_amount,annual_income,default_flag,lgd
L00480,691,0.4991,0.3,50432.0,79933.0,0,0
L00481,631,0.0886,8.9,78307.0,44490.0,0,0
L00482,629,0.1152,1.1,33202.0,91593.0,0,0
L00483,782,0.2887,2.6,33442.0,34281.0,0,0
L00484,626,0.1198,3.0,42999.0,75080.0,0,0
L00485,693,0.1788,26.7,20400.0,53187.0,0,0
L00486,615,0.169,2.3,48616.0,36538.0,0,0
L00487,651,0.605,2.0,20836.0,45258.0,0,0
L00488,557,0.3244,10.5,22869.0,61723.0,0,0
L00489,720,0.457,1.7,83726.0,81205.0,0,0
L00490,691,0.1063,0.3,24554.0,34956.0,0,0
L00491,439,0.2249,9.3,52005.0,43073.0,0,0
L00492,781,0.1683,17.8,38254.0,55400.0,0,0
L00493,605,0.0369,4.5,83548.0,24842.0,0,0
L00494,530,0.0163,2.0,76692.0,148843.0,0,0
L00495,789,0.3812,2.4,32678.0,28409.0,0,0
L00496,714,0.1221,1.9,43592.0,139437.0,0,0
L00497,513,0.2958,8.3,43157.0,56043.0,0,0
L00498,690,0.2207,3.4,45881.0,43518.0,0,0
L00499,635,0.0703,1.8,33822.0,82433.0,0,0
L00500,686,0.1765,5.4,25949.0,54168.0,0,0
